title,author,genre,description,rating
Harry Potter and the Philosopher's Stone,J. K. Rowling,Фэнтези,"Сиқыр мектебі, достық және шытырман оқиғалар туралы хикая.",4.8
The Hobbit,J. R. R. Tolkien,Фэнтези,"Қиял-ғажайып әлемдегі саяхат, айдаһар және батылдық туралы шығарма.",4.7
The Lord of the Rings,J. R. R. Tolkien,Фэнтези,"Сиқырлы сақина мен үлкен саяхат жайлы эпикалық фэнтези.",4.9
1984,George Orwell,Антиутопия,"Бақылау, билік және еркіндік мәселелерін көтеретін антиутопиялық роман.",4.7
Murder on the Orient Express,Agatha Christie,Детектив,"Пойыздағы жұмбақ кісі өлімін тергейтін әйгілі детективтік шығарма.",4.6
The Martian,Andy Weir,Ғылыми фантастика,"Марста жалғыз қалған астронавттың ғылым арқылы аман қалу күресі.",4.6
Dune,Frank Herbert,Ғылыми фантастика,"Шөлді ғаламшар, саясат және билік үшін күрес туралы эпикалық роман.",4.7
Pride and Prejudice,Jane Austen,Роман,"Махаббат, мінез және қоғам туралы классикалық роман.",4.6
The Alchemist,Paulo Coelho,Роман,"Арманын іздеген жас жігіттің рухани саяхаты туралы шығарма.",4.4
Sherlock Holmes: A Study in Scarlet,Arthur Conan Doyle,Детектив,"Шерлок Холмстың логика мен бақылауға негізделген алғашқы тергеулерінің бірі.",4.5
The Little Prince,Antoine de Saint-Exupery,Классика,"Достық, махаббат және адам болмысы туралы философиялық ертегі.",4.8
Abai Zholy,Mukhtar Auezov,Қазақ әдебиеті,"Абайдың өмірі мен қазақ қоғамын суреттейтін тарихи эпопея.",4.9
Koshpendiler,Ilyas Yesenberlin,Қазақ әдебиеті,"Қазақ хандығының тарихы мен дала өмірін бейнелейтін тарихи шығарма.",4.8
Менің атым Қожа,Бердібек Соқпақбаев,Қазақ әдебиеті,"Мектеп оқушысы Қожаның мінезі, арманы және қызықты оқиғалары туралы повесть.",4.8
Көшпенділер,Ілияс Есенберлин,Тарихи,"Қазақ хандығының қалыптасуы мен тарихи тұлғалар туралы трилогия.",4.9
